Pair=USDJPY;Period=H1;Days=720;Shift=1;Bars=17280;Time=20171231_233725
no;Open;High;Low;Close;RSI;MFI;BB.2s;BB.1s;BB.main;BB.-1s;BB.-2s;Diff;High/Low;datetime
11;112.53;112.545;112.501;112.514;26.59888725237371;43.08314510464977;113.0006147672361;112.876857383618;112.7530999999999;112.6293426163817;112.5055852327636;-0.01600000000000534;0.04399999999999693;2017.12.29 13:00;2017.12.29 20:00
12;112.603;112.607;112.518;112.531;27.22971532230525;49.45432034597805;112.9983674806129;112.8848087403064;112.7712499999999;112.6576912596934;112.5441325193868;-0.07199999999998852;0.08899999999999864;2017.12.29 12:00;2017.12.29 19:00
13;112.576;112.605;112.544;112.602;30.05812604635037;49.14647065348733;112.9868758354135;112.8868129177066;112.7867499999998;112.686687082293;112.5866241645862;0.02600000000001046;0.06100000000000705;2017.12.29 11:00;2017.12.29 18:00
14;112.657;112.678;112.565;112.579;27.74851282171156;55.03909421738861;112.9810218034135;112.8898609017067;112.7986999999999;112.707539098293;112.6163781965862;-0.07800000000000296;0.1129999999999995;2017.12.29 10:00;2017.12.29 17:00
15;112.66;112.748;112.656;112.656;31.00475579019771;57.07799499673045;112.9643980580013;112.8881240290006;112.8118499999999;112.7355759709992;112.6593019419985;-0.003999999999990678;0.09199999999999875;2017.12.29 09:00;2017.12.29 16:00
16;112.695;112.733;112.637;112.656;31.00475579019771;53.41169330113142;112.9561583577568;112.8886291788783;112.8210999999998;112.7535708211214;112.6860416422429;-0.03899999999998727;0.09600000000000364;2017.12.29 08:00;2017.12.29 15:00
17;112.742;112.764;112.685;112.698;32.90562859791773;57.42186112049695;112.9447470698424;112.8882235349212;112.8316999999998;112.7751764650785;112.7186529301572;-0.04400000000001114;0.07899999999999352;2017.12.29 07:00;2017.12.29 14:00
18;112.767;112.775;112.735;112.742;35.04390702245306;61.97352393141566;112.9382635734212;112.8896817867105;112.8410999999998;112.7925182132892;112.7439364265785;-0.02499999999999147;0.04000000000000625;2017.12.29 06:00;2017.12.29 13:00
19;112.738;112.791;112.729;112.769;36.42369631910134;65.68998418470274;112.934170432381;112.8884352161904;112.8426999999998;112.7969647838092;112.7512295676187;0.03100000000000591;0.06199999999999761;2017.12.29 05:00;2017.12.29 12:00
20;112.75;112.777;112.685;112.741;33.85806025240345;61.55288011941271;112.9415789198598;112.8909144599298;112.8402499999998;112.7895855400698;112.7389210801398;-0.009000000000000341;0.09199999999999875;2017.12.29 04:00;2017.12.29 11:00
21;112.903;112.907;112.705;112.749;34.23303388365224;62.68873441999782;112.9360026223404;112.8895263111701;112.8430499999998;112.7965736888295;112.7500973776592;-0.1540000000000106;0.2019999999999982;2017.12.29 03:00;2017.12.29 10:00
22;112.883;112.968;112.872;112.893;42.23069491522443;62.19376042793123;112.9326138657661;112.8884819328829;112.8443499999998;112.8002180671167;112.7560861342336;0.01000000000000512;0.09600000000000364;2017.12.29 02:00;2017.12.29 09:00
23;112.88;112.91;112.864;112.877;40.7700658136938;56.20231597914925;112.9588179472429;112.9042089736214;112.8495999999998;112.7949910263783;112.7403820527567;-0.003000000000000114;0.04599999999999227;2017.12.29 01:00;2017.12.29 08:00
24;112.858;112.928;112.827;112.882;41.07840591796881;53.53790261693263;113.0349428809363;112.9491714404681;112.8633999999998;112.7776285595315;112.6918571190633;0.02400000000000091;0.1009999999999991;2017.12.29 00:00;2017.12.29 07:00
25;112.892;112.892;112.836;112.856;38.79161492737427;44.38013381592796;113.0890909324487;112.9829454662242;112.8767999999998;112.7706545337754;112.664509067551;-0.03600000000000136;0.05599999999999739;2017.12.28 23:00;2017.12.29 06:00
26;112.859;112.901;112.854;112.894;41.0010477073367;43.16940918875184;113.155461868125;113.0253309340624;112.8951999999998;112.7650690659373;112.6349381318747;0.0350000000000108;0.04699999999999704;2017.12.28 22:00;2017.12.29 05:00
27;112.855;112.889;112.841;112.862;38.18441034156018;44.90543078375003;113.2111625582646;113.0616562791322;112.9121499999999;112.7626437208675;112.6131374417351;0.006999999999990791;0.04800000000000182;2017.12.28 21:00;2017.12.29 04:00
28;112.858;112.889;112.822;112.857;37.74322928329049;46.69740459178972;113.2558324469885;113.0928662234942;112.9298999999999;112.7669337765055;112.6039675530112;-0.001000000000004775;0.06699999999999307;2017.12.28 20:00;2017.12.29 03:00
29;112.848;112.883;112.822;112.857;37.74322928329049;39.45077335518338;113.2981699414827;113.1234349707413;112.9486999999999;112.7739650292585;112.5992300585171;0.009000000000000341;0.06099999999999284;2017.12.28 19:00;2017.12.29 02:00
30;112.877;112.895;112.813;112.847;36.93074731171432;40.1030966360714;113.3570800898498;113.1648150449248;112.9725499999999;112.7802849550749;112.5880199101499;-0.03000000000000114;0.08199999999999363;2017.12.28 18:00;2017.12.29 01:00
31;112.842;112.99;112.842;112.877;38.3574099134841;46.26871158257539;113.3961784940149;113.1951642470074;112.9941499999998;112.7931357529923;112.5921215059848;0.03499999999999659;0.1479999999999961;2017.12.28 17:00;2017.12.29 00:00
32;112.84;112.864;112.796;112.841;35.51766871046651;39.29082598276155;113.4263130244711;113.2196315122355;113.0129499999999;112.8062684877642;112.5995869755286;0.000999999999990564;0.06799999999999784;2017.12.28 16:00;2017.12.28 23:00
33;112.843;112.897;112.807;112.841;35.51766871046651;39.01780465163107;113.454969075932;113.2447845379659;113.0345999999999;112.8244154620338;112.6142309240678;-0.00200000000000955;0.09000000000000341;2017.12.28 15:00;2017.12.28 22:00
34;112.841;112.885;112.807;112.842;35.55873532489542;37.87683766852918;113.4860659444004;113.2722329722001;113.0583999999999;112.8445670277996;112.6307340555993;0.001000000000004775;0.07800000000000296;2017.12.28 14:00;2017.12.28 21:00
35;112.864;112.879;112.822;112.841;35.48787397710767;43.54324951839462;113.5086066783103;113.2948533391551;113.0810999999999;112.8673466608446;112.6535933216894;-0.02300000000001035;0.05700000000000216;2017.12.28 13:00;2017.12.28 20:00
36;112.886;112.891;112.83;112.868;36.51787637784218;47.7865255974038;113.5249710616253;113.3141855308126;113.1033999999999;112.8926144691871;112.6818289383744;-0.01800000000000068;0.06100000000000705;2017.12.28 12:00;2017.12.28 19:00
37;112.774;112.921;112.766;112.886;37.20171489871734;49.49904299538944;113.5428234462103;113.3343617231051;113.1258999999999;112.9174382768946;112.7089765537894;0.1119999999999948;0.1550000000000011;2017.12.28 11:00;2017.12.28 18:00
38;112.721;112.792;112.704;112.774;29.38520519558566;50.98954354309282;113.5460326928894;113.3442413464447;113.1424499999999;112.9406586535551;112.7388673071103;0.05299999999999727;0.08800000000000807;2017.12.28 10:00;2017.12.28 17:00
39;112.796;112.806;112.665;112.72;25.1159329183573;46.72507858930803;113.5326670823127;113.3488835411563;113.1650999999999;112.9813164588434;112.797532917687;-0.07600000000000762;0.1409999999999911;2017.12.28 09:00;2017.12.28 16:00
40;112.775;112.825;112.771;112.797;27.35639494483634;46.59312655188134;113.4976973735612;113.3444486867806;113.1911999999999;113.0379513132192;112.8847026264386;0.02199999999999136;0.05400000000000205;2017.12.28 08:00;2017.12.28 15:00
41;112.997;113.031;112.773;112.775;25.55385010749976;51.03372975140309;113.4627613496499;113.3385806748249;113.2143999999999;113.0902193251749;112.9660386503498;-0.2219999999999942;0.2580000000000098;2017.12.28 07:00;2017.12.28 14:00
